personID,time
0,1558098188.3835158
1,1558098188.383589
0,1558098190.358042
1,1558098190.358144
0,1558098190.421792
1,1558098190.421942
0,1558098190.493949
1,1558098190.494026
0,1558098190.565513
1,1558098190.5656378
0,1558098190.632533
1,1558098190.6326091
0,1558098190.7014458
1,1558098190.701517
0,1558098190.767207
1,1558098190.767283
0,1558098190.832342
1,1558098190.832421
0,1558098190.898304
1,1558098190.8983948
0,1558098190.9683468
1,1558098190.968417
0,1558098191.033851
1,1558098191.033922
0,1558098191.0999758
1,1558098191.100079
0,1558098191.177023
1,1558098191.177253
0,1558098191.251768
1,1558098191.2518651
0,1558098191.331441
1,1558098191.331512
0,1558098191.422272
1,1558098191.422412
0,1558098191.4942641
1,1558098191.494348
0,1558098191.5651
1,1558098191.5651698
0,1558098191.636611
1,1558098191.63668
2,1558098191.6367471
0,1558098191.704681
1,1558098191.704749
2,1558098191.704816
0,1558098191.7830882
1,1558098191.783162
2,1558098191.783235
0,1558098191.8669481
1,1558098191.867025
2,1558098191.867098
0,1558098191.93472
1,1558098191.9347892
2,1558098191.934855
0,1558098192.0022871
1,1558098192.0023758
2,1558098192.002443
0,1558098192.0664861
1,1558098192.066556
2,1558098192.066648
0,1558098192.135584
1,1558098192.1356711
2,1558098192.1357398
0,1558098192.2212029
1,1558098192.221334
2,1558098192.221459
0,1558098192.299523
1,1558098192.29967
2,1558098192.299747
0,1558098192.3667579
1,1558098192.3668852
2,1558098192.367002
0,1558098192.431665
1,1558098192.431735
2,1558098192.431801
0,1558098192.509654
1,1558098192.50973
2,1558098192.509804
0,1558098192.581229
1,1558098192.581355
2,1558098192.581435
0,1558098192.646927
1,1558098192.646996
2,1558098192.647062
0,1558098192.7102458
1,1558098192.7103202
2,1558098192.710392
0,1558098192.781821
1,1558098192.781965
2,1558098192.7820952
0,1558098192.852128
1,1558098192.8521972
2,1558098192.852264
0,1558098192.914451
1,1558098192.914578
2,1558098192.9147038
0,1558098193.013094
1,1558098193.013227
2,1558098193.01336
0,1558098193.085182
1,1558098193.085251
2,1558098193.0853171
0,1558098193.155775
1,1558098193.155852
2,1558098193.155923
0,1558098193.2317598
1,1558098193.2318301
2,1558098193.231898
0,1558098193.3138711
1,1558098193.31394
2,1558098193.314007
0,1558098193.3814652
1,1558098193.3815339
2,1558098193.3816
0,1558098193.459009
1,1558098193.4590778
2,1558098193.459145
0,1558098193.52396
